Title	URL	Assignees	Status	Labels
Login Page	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/1	Srimanjary, TheOostman	Done	must have
Register Page	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/2	Srimanjary, TheOostman	Done	must have
Search page	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/3	moon1300, TheOostman	In Progress	should have
Main Page	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/4	TheOostman	Done	must have
Database Register	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/5	kiru544, TheOostman	Done	must have
Database Login	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/6	TheOostman	Done	must have
Filters	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/7	moon1300	Todo	could have, should have
Display Pictures	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/8	TheOostman	In Progress	must have
Sprint plan	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/9	Srimanjary	Done	must have
Low fidelity prototype	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/10	moon1300	Done	must have
Redesign GUI	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/11	kiru544, moon1300, Srimanjary, TheOostman	Todo	could have
arrange portfolio	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/12	TheOostman	Todo	could have
collaborations page	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/13	moon1300, TheOostman	Todo	should have
messages	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/14	kiru544, moon1300, Srimanjary	Todo	should have
likes	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/15	kiru544, moon1300	Todo	should have
comments	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/16	kiru544, moon1300, Srimanjary	Todo	should have
Export	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/17	TheOostman	Todo	could have
Share	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/18	TheOostman	Todo	could have
feed page	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/19	TheOostman	Todo	could have
Follow/Request button	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/20	kiru544	Todo	should have
View profile	https://github.com/TheOostman/Art-Portfolio-Manager_Project/issues/21	moon1300	Todo	should have